88964, 98123
668, 6184
26716, 86088
26949, 63229
35555, 75755
27919, 75638
1012, 35859
33282, 40881
59648, 84964
85713, 87475
50839, 62725
66460, 96387
58490, 68125
23703, 94471
43033, 92543
46657, 85842
602, 35555
30445, 43540
37951, 58490
51826, 94796
34895, 86442
15180, 23703
33282, 60842
15180, 94471
18616, 23690
63861, 84890
47136, 83642
47136, 77307
7294, 26949
480, 88683
26390, 95363
37951, 93645
35860, 93897
6184, 25955
18616, 71136
11136, 86442
37951, 55332
37516, 71082
18616, 95349
16558, 66230
77307, 83642
35808, 90581
40881, 66230
54101, 75638
35860, 55393
18616, 91316
56064, 66230
35860, 94471
58490, 94462
12471, 71082
25955, 46657
480, 33282
3997, 50839
6188, 66460
25677, 99845
35860, 37516
85842, 94471
49976, 58478
52190, 58478
37516, 56064
18134, 35555
49976, 94462
41405, 43033
66108, 83458
64686, 94796
35555, 84964
66230, 75700
18134, 94796
37951, 68125
23703, 25955
52190, 75905
480, 60842
